iter	Passed	Remaining
260	610	558
261	612	556
262	614	553
263	616	551
264	619	549
265	621	547
266	623	544
267	626	541
268	628	539
269	630	536
270	632	534
271	635	532
272	637	530
273	640	527
274	642	525
275	644	522
276	646	520
277	649	518
278	651	516
279	654	513
280	656	511
281	658	508
282	660	506
283	662	503
284	664	501
285	667	499
286	669	497
287	671	494
288	674	492
289	676	489
290	678	487
291	680	484
292	683	483
293	685	480
294	687	477
295	689	475
296	691	472
297	694	470
298	696	468
299	699	466
300	701	463
301	703	461
302	706	459
303	708	456
304	710	454
305	712	451
306	716	450
307	718	447
308	720	445
309	722	442
310	724	440
311	726	437
312	728	435
313	731	433
314	733	430
315	735	428
316	738	426
317	740	423
318	742	421
319	744	418
320	747	417
321	750	414
322	752	412
323	754	409
324	756	407
325	759	405
326	761	402
327	763	400
328	766	398
329	768	395
330	770	393
331	772	390
332	774	388
333	776	386
334	779	384
335	781	381
336	784	379
337	786	376
338	788	374
339	790	372
340	792	369
341	795	367
342	797	365
343	799	362
344	802	360
345	804	357
346	806	355
347	809	353
348	812	351
349	814	349
350	816	346
351	818	344
352	820	341
353	823	339
354	825	337
355	828	334
356	830	332
357	832	330
358	834	327
359	836	325
360	838	322
361	841	320
362	844	318
363	846	316
364	848	313
365	850	311
366	852	309
367	855	306
368	858	304
369	860	302
370	862	299
371	864	297
372	866	295
373	868	292
374	871	290
375	873	287
376	875	285
377	878	283
378	880	281
379	882	278
380	884	276
381	886	273
382	888	271
383	891	269
384	894	267
385	896	264
386	898	262
387	900	259
388	902	257
389	905	255
390	907	253
391	909	250
392	912	248
393	914	245
394	916	243
395	918	241
396	920	238
397	923	236
398	925	234
399	927	231
400	929	229
401	931	227
402	934	224
403	936	222
404	939	220
405	941	217
406	943	215
407	945	213
408	947	210
409	949	208
410	951	206
411	955	203
412	957	201
413	959	199
414	961	196
415	963	194
416	965	192
417	969	190
418	972	188
419	975	185
420	977	183
421	979	181
422	982	178
423	984	176
424	987	174
425	989	171
426	991	169
427	993	167
428	995	164
429	997	162
430	999	160
431	1002	157
432	1004	155
433	1006	153
434	1008	150
435	1010	148
436	1013	146
437	1016	143
438	1019	141
439	1021	139
440	1023	136
441	1025	134
442	1027	132
443	1029	129
444	1032	127
445	1034	125
446	1036	122
447	1038	120
448	1040	118
449	1042	115
450	1045	113
451	1047	111
452	1050	108
453	1052	106
454	1054	104
455	1056	101
456	1058	99
457	1060	97
458	1063	94
459	1066	92
460	1068	90
461	1070	88
462	1073	85
463	1075	83
464	1077	81
465	1079	78
466	1082	76
467	1084	74
468	1086	71
469	1088	69
470	1091	67
471	1093	64
472	1095	62
473	1098	60
474	1100	57
475	1102	55
476	1104	53
477	1106	50
478	1109	48
479	1111	46
480	1114	44
481	1116	41
482	1118	39
483	1120	37
484	1123	34
485	1125	32
486	1127	30
487	1129	27
488	1132	25
489	1134	23
490	1136	20
491	1138	18
492	1140	16
493	1142	13
494	1145	11
495	1147	9
496	1149	6
497	1151	4
498	1153	2
499	1155	0
